timestamp,ip,endpoint,method,status_code,response_time_ms,user_agent
2026-06-16 03:07:23,185.220.101.9,/api/users,GET,200,177,python-requests/2.28
2026-06-16 19:21:23,192.168.1.22,/api/products,POST,200,61,Mozilla/5.0 (normal browser)
2026-06-16 19:22:23,10.0.0.5,/api/orders,GET,200,203,Mozilla/5.0 (normal browser)
2026-06-16 19:33:23,10.0.0.8,/api/orders,GET,304,107,Mozilla/5.0 (normal browser)
2026-06-16 19:34:23,10.0.0.8,/checkout,POST,200,235,Mozilla/5.0 (normal browser)
2026-06-16 19:34:23,192.168.1.10,/api/products,GET,200,150,Mozilla/5.0 (normal browser)
2026-06-16 19:42:23,192.168.1.10,/checkout,POST,304,90,Mozilla/5.0 (normal browser)
2026-06-16 19:46:23,192.168.1.10,/dashboard,GET,200,143,Mozilla/5.0 (normal browser)
2026-06-16 19:46:23,10.0.0.5,/checkout,GET,200,143,Mozilla/5.0 (normal browser)
2026-06-16 19:53:23,192.168.1.22,/checkout,GET,200,127,Mozilla/5.0 (normal browser)
2026-06-16 19:54:23,192.168.1.15,/settings,GET,304,195,Mozilla/5.0 (normal browser)
2026-06-16 19:54:23,172.16.0.3,/login,GET,200,184,Mozilla/5.0 (normal browser)
2026-06-16 19:54:23,192.168.1.15,/checkout,GET,200,264,Mozilla/5.0 (normal browser)
2026-06-16 19:56:23,192.168.1.22,/checkout,POST,200,206,Mozilla/5.0 (normal browser)
2026-06-16 20:01:23,10.0.0.8,/profile,GET,200,218,Mozilla/5.0 (normal browser)
2026-06-16 20:01:23,192.168.1.15,/login,POST,200,104,Mozilla/5.0 (normal browser)
2026-06-16 20:02:23,10.0.0.8,/api/products,GET,200,82,Mozilla/5.0 (normal browser)
2026-06-16 20:02:23,10.0.0.5,/profile,POST,200,146,Mozilla/5.0 (normal browser)
2026-06-16 20:04:23,172.16.0.3,/settings,GET,200,298,Mozilla/5.0 (normal browser)
2026-06-16 20:08:23,10.0.0.8,/api/products,GET,200,284,Mozilla/5.0 (normal browser)
2026-06-16 20:16:23,192.168.1.22,/checkout,POST,200,179,Mozilla/5.0 (normal browser)
2026-06-16 20:19:23,192.168.1.15,/dashboard,GET,200,152,Mozilla/5.0 (normal browser)
2026-06-16 20:21:23,10.0.0.8,/checkout,GET,200,265,Mozilla/5.0 (normal browser)
2026-06-16 20:23:23,192.168.1.15,/dashboard,POST,200,184,Mozilla/5.0 (normal browser)
2026-06-16 20:27:23,10.0.0.8,/api/users,GET,200,259,Mozilla/5.0 (normal browser)
2026-06-16 20:29:23,192.168.1.10,/checkout,POST,200,111,Mozilla/5.0 (normal browser)
2026-06-16 20:30:23,10.0.0.5,/api/orders,GET,200,269,Mozilla/5.0 (normal browser)
2026-06-16 20:30:23,192.168.1.15,/login,GET,200,68,Mozilla/5.0 (normal browser)
2026-06-16 20:31:23,192.168.1.22,/checkout,GET,200,62,Mozilla/5.0 (normal browser)
2026-06-16 20:32:23,172.16.0.3,/settings,GET,200,161,Mozilla/5.0 (normal browser)
2026-06-16 20:32:23,192.168.1.15,/login,POST,200,259,Mozilla/5.0 (normal browser)
2026-06-16 20:34:23,192.168.1.15,/api/orders,POST,200,251,Mozilla/5.0 (normal browser)
2026-06-16 20:37:23,192.168.1.10,/api/users,GET,304,126,Mozilla/5.0 (normal browser)
2026-06-16 20:37:23,192.168.1.10,/api/orders,GET,200,80,Mozilla/5.0 (normal browser)
2026-06-16 20:38:23,192.168.1.10,/checkout,GET,200,158,Mozilla/5.0 (normal browser)
2026-06-16 20:41:23,10.0.0.5,/settings,GET,200,56,Mozilla/5.0 (normal browser)
2026-06-16 20:44:23,10.0.0.5,/settings,GET,200,171,Mozilla/5.0 (normal browser)
2026-06-16 20:45:23,192.168.1.22,/api/orders,GET,200,77,Mozilla/5.0 (normal browser)
2026-06-16 20:49:23,10.0.0.8,/api/users,GET,200,219,Mozilla/5.0 (normal browser)
2026-06-16 20:58:23,172.16.0.3,/login,GET,200,290,Mozilla/5.0 (normal browser)
2026-06-16 21:04:23,192.168.1.10,/api/products,GET,200,99,Mozilla/5.0 (normal browser)
2026-06-16 21:05:23,10.0.0.5,/login,GET,200,167,Mozilla/5.0 (normal browser)
2026-06-16 21:10:23,192.168.1.10,/checkout,POST,200,243,Mozilla/5.0 (normal browser)
2026-06-16 21:10:23,10.0.0.5,/dashboard,POST,200,260,Mozilla/5.0 (normal browser)
2026-06-16 21:20:23,192.168.1.15,/dashboard,GET,200,279,Mozilla/5.0 (normal browser)
2026-06-16 21:28:23,192.168.1.22,/api/orders,GET,200,261,Mozilla/5.0 (normal browser)
2026-06-16 21:35:23,172.16.0.3,/settings,GET,200,54,Mozilla/5.0 (normal browser)
